ID,date,from,day_recorded,month_recorded,dnoregion,regionid,intensity_forecast,intensity_index,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
196,2024-01-01,04:30,Monday,January,Wales,17,58,low,0.2,0.0,0.0,14.6,4.5,0,3.7,0.0,77.0
197,2024-01-01,04:30,Monday,January,GB,18,56,low,4.0,0.9,3.4,10.6,18.6,0,2.1,0.0,60.3
198,2024-01-01,05:00,Monday,January,Scottish Hydro Electric Power Distribution,1,0,very low,0.0,0.0,0.0,0.0,0.0,0,36.9,0.0,63.1
199,2024-01-01,05:00,Monday,January,SP Distribution,2,11,very low,1.8,0.0,0.0,2.4,31.2,0,0.5,0.0,64.1
200,2024-01-01,05:00,Monday,January,Electricity North West,3,3,very low,0.5,0.0,0.0,0.5,40.4,0,0.1,0.2,58.4
201,2024-01-01,05:00,Monday,January,NPG North East,4,9,very low,5.7,0.0,0.0,0.6,66.6,0,0.1,1.4,25.6
202,2024-01-01,05:00,Monday,January,NPG Yorkshire,5,68,low,22.6,0.0,0.0,10.4,7.8,0,0.0,0.5,58.7
203,2024-01-01,05:00,Monday,January,SP Manweb,6,24,very low,0.4,0.0,0.0,6.0,14.8,0,2.2,0.0,76.6
204,2024-01-01,05:00,Monday,January,WPD South Wales,7,123,moderate,0.3,0.2,0.0,30.7,3.6,0,0.1,0.1,65.0
205,2024-01-01,05:00,Monday,January,WPD West Midlands,8,32,very low,2.3,1.0,0.0,4.9,24.3,0,0.9,0.6,66.0
206,2024-01-01,05:00,Monday,January,WPD East Midlands,9,127,moderate,11.9,6.0,0.0,14.3,4.2,0,0.0,0.3,63.3
